Key,Item Type,Publication Year,Author,Title,v2_decision,v2_reason
ZE38WPJH,journalArticle,2025.0,"Kim, Myeongsoo; Sinha, Saurabh; Orso, Alessandro",LlamaRestTest: Effective REST API Testing with Small Language Models,Include,Passes full-text QA (Comprehensive evaluation on OpenAPI specs)
QDYUE2D3,journalArticle,2024.0,"Chen, Juxing; Chen, Yuanchao; Pan, Zulie; Chen, Yu; Li, Yuwei; Li, Yang; Zhang, Min; Shen, Yi",DynER: Optimized Test Case Generation for Representational State Transfer (REST)ful Application Programming Interface (API) Fuzzers Guided by Dynamic Error Responses,Include,Passes full-text QA (Clear execution data and error-guided fuzzing)
9RLSQTTZ,journalArticle,2025.0,"Korraprolu, Brahma Reddy; Pinninti, Pavitra; Reddy, Y. Raghu",Test Case Generation for Requirements in Natural Language - An LLM Comparison Study,Include,Passes full-text QA (Detailed experimental comparison of multiple LLMs)
SBLQIYFN,journalArticle,2025.0,"Kim, Myeongsoo; Stennett, Tyler; Sinha, Saurabh; Orso, Alessandro",A Multi-Agent Approach for REST API Testing with Semantic Graphs and LLM-Driven Inputs,Include,Passes full-text QA (Advanced multi-agent framework with empirical validation)
78KJ7JTC,preprint,2024.0,"Sri, S. Deepika; S, Mohammed Aadil; R, Sanjjushri Varshini; Raman, Raja CSP; Rajagopal, Gopinath; Chan, S. Taranath",Automating REST API Postman Test Cases Using LLM,Include,Passes full-text QA (Actionable Postman test script generation methodology)
NXZHJ632,conferencePaper,2024.0,"Kim, Myeongsoo; Stennett, Tyler; Shah, Dhruv; Sinha, Saurabh; Orso, Alessandro",Leveraging Large Language Models to Improve REST API Testing,Include,Passes full-text QA (High quality conference paper focusing on structural testing)
52YE6L6K,preprint,2026.0,"Pereira, André; Lima, Bruno; Faria, João Pascoal",APITestGenie: Generating Web API Tests from Requirements and API Specifications with LLMs,Include,Passes full-text QA (Validates generation from combined natural language and OpenAPI specs)
6R4XXVIS,journalArticle,2026.0,"Deng, Sida; Huang, Rubing; Zhang, Man; Cui, Chenhui; Towey, Dave; Wang, Rongcun",LRASGen: LLM-based RESTful API Specification Generation,Exclude,Excluded based on QA1 (Focuses strictly on specification synthesis rather than active dynamic execution testing)
2DHJDFSQ,thesis,2025.0,"Strauß, Diana",Automating Software and Vulnerability Testing in REST APIs with Large Language Models,Include,Passes full-text QA (Comprehensive master thesis with open-source tool code)
HI5WVPQX,preprint,2025.0,"Han, Xiaoke; Zhu, Hong",MASTEST: A LLM-Based Multi-Agent System For RESTful API Tests,Include,Passes full-text QA (Detailed multi-agent testing orchestration on microservices)
WJPBW8NE,preprint,2026.0,"Kogler, Leon; Hangler, Stefan; Ehrhart, Maximilian; Dornauer, Benedikt; Wuersching, Roland; Schrammel, Peter",RESTestBench: A Benchmark for Evaluating the Effectiveness of LLM-Generated REST API Test Cases from NL Requirements,Include,Passes full-text QA (Establishes a solid benchmark framework for evaluating API testing metrics)
V3762JYD,conferencePaper,2025.0,"Kyaw, Phyu Thet Thet; Luangsodsai, Arthorn; Bhattarakosol, Pattarasine",Open API Testing Using Large Language Models and Prompt Engineering,Include,Passes full-text QA (Explores detailed prompt engineering patterns for endpoints)
IAFM39Q7,journalArticle,2025.0,"Sidiropoulos, Efstathios",Exploring LLM-Powered Software Testing: A Study on Multi-Agent Systems for REST APIs,Include,Passes full-text QA (Provides detailed architectural patterns for microservice API environments)
NAFWU6NP,preprint,2025.0,"Barradas, Thiago; Paes, Aline; Neves, Vânia de Oliveira",Combining TSL and LLM to Automate REST API Testing: A Comparative Study,Include,Passes full-text QA (Combines Test Specification Language with LLM with empirical results)
84M6J8WK,thesis,2025.0,"Kim, Myeongsoo",Effective Automation of Black-Box Testing for REST APIs with Machine Learning and Language Models,Include,Passes full-text QA (Extensive doctoral dissertation with multiple validated frameworks)
T4CGUHVZ,journalArticle,2025.0,"Otieno, Bill A.; Araka, Eric",Systematic Literature Review: RESTful API Testing Using Machine Learning Techniques,Exclude,Excluded based on QA4 (Secondary study/SLR itself; cannot be used as a primary research evidence source)
93EAES8M,preprint,2025.0,"Wang, Shuai; Yu, Yinan; Feldt, Robert; Parthasarathy, Dhasarathy",Automating a Complete Software Test Process Using LLMs: An Automotive Case Study,Exclude,Excluded based on QA3 (Full-text analysis reveals the case study is automotive vehicle control bus rather than standard Web REST API)
II2Z59DU,conferencePaper,2025.0,"Wang, Jue; Chen, Shuxiang; Liu, Yu; Deng, Yuan; Zhang, Lei; Fu, Yuanchang; Liu, Bo",TestGPT-Server: Automatically Testing Microservices with Large Language Models at ByteDance,Include,Passes full-text QA (Excellent industrial empirical paper showing large-scale deployment data)
EGB7NVUX,journalArticle,2026.0,"Kochanovskis, Jaroslav; Slotkienė, Asta",From Requirements to Executable Tests: LLM-Based System Test Generation for REST APIs,Include,Passes full-text QA (Clear mapping from textual requirements directly into runnable API requests)
KXB33SJI,conferencePaper,2025.0,"Uddin, Md Arfan",Graph-Based LLM Prompting for Scalable Microservice API Testing,Include,Passes full-text QA (Innovates graph-based knowledge prompts for testing interdependent endpoints)